year,area,total_conc,total_fem,total_masc
2016,Social & Behavioral Sciences,51763,36747,15016
2016,Total,805089,489975,315114
2017,Arts & Humanities,19688,10188,9500
2017,Business & Management,264264,156334,107930
2017,Education,145500,104364,41136
2017,Engineering,144900,50379,94521
2017,Health & Medical,163381,123261,40120
2017,Natural Sciences,15648,8588,7060
2017,Other/Unknown,23932,11571,12361
2017,Social & Behavioral Sciences,55021,39644,15377
2017,Total,832334,504329,328005
2018,Arts & Humanities,19088,10328,8760
2018,Business & Management,268512,158690,109822
2018,Education,133198,94525,38673
2018,Engineering,162002,57977,104025
2018,Health & Medical,188263,141464,46799
2018,Natural Sciences,15395,8325,7070
2018,Other/Unknown,28259,14383,13876
2018,Social & Behavioral Sciences,61007,44203,16804
2018,Total,875724,529895,345829
2019,Arts & Humanities,17102,9290,7812
2019,Business & Management,241301,140819,100482
2019,Education,120584,85216,35368
2019,Engineering,159144,56994,102150
2019,Health & Medical,182946,135827,47119
2019,Natural Sciences,14662,7940,6722
2019,Other/Unknown,29884,15487,14397
2019,Social & Behavioral Sciences,60300,43887,16413
2019,Total,825923,495460,330463
2020,Arts & Humanities,13885,7347,6538
2020,Business & Management,236416,136742,99674
2020,Education,94833,68705,26128
2020,Engineering,147284,52774,94510
2020,Health & Medical,184571,135558,49013
2020,Natural Sciences,12288,6712,5576
2020,Other/Unknown,28139,14781,13358
2020,Social & Behavioral Sciences,55384,40094,15290
2020,Total,772800,462713,310087
2021,Arts & Humanities,13510,7207,6303
2021,Business & Management,210464,121058,89406
2021,Education,93912,67505,26407
2021,Engineering,127928,44384,83544
2021,Health & Medical,205603,152833,52770
2021,Natural Sciences,12642,6805,5837
2021,Other/Unknown,29873,15742,14131
2021,Social & Behavioral Sciences,57301,41466,15835
2021,Total,751233,457000,294233
2022,Arts & Humanities,14157,7709,6448
2022,Business & Management,200814,115460,85354
2022,Education,91691,65532,26159
2022,Engineering,115895,39374,76521
2022,Health & Medical,205034,152887,52147
2022,Natural Sciences,13051,7018,6033
2022,Other/Unknown,33251,18013,15238
2022,Social & Behavioral Sciences,59316,42663,16653
2022,Total,733209,448656,284553
2023,Arts & Humanities,15295,8404,6891
2023,Business & Management,189051,107895,81156
2023,Education,85174,59406,25768
2023,Engineering,105703,34831,70872
2023,Health & Medical,208380,153632,54748
2023,Natural Sciences,13064,6875,6189
2023,Other/Unknown,34463,19184,15279
2023,Social & Behavioral Sciences,64162,46156,18006
2023,Total,715292,436383,278909
2024,Arts & Humanities,15368,8826,6542
2024,Business & Management,158249,90166,68083
2024,Education,71791,49388,22403
2024,Engineering,92491,30608,61883
2024,Health & Medical,196862,145698,51164
2024,Natural Sciences,12737,6674,6063
2024,Other/Unknown,35624,20511,15113
2024,Social & Behavioral Sciences,69451,50616,18835
2024,Total,652573,402487,250086
