NU_ANO_CENSO,NO_CINE_AREA_GERAL,QT_CONC,QT_CONC_FEM,QT_CONC_MASC
2009,"Engenharia, produção e construção",42490,12295,30195
2009,Educação,156344,114084,42260
2009,"Negócios, administração e direito",254824,137385,117439
2009,Serviços,8472,6073,2399
2009,"Ciências sociais, comunicação e informação",37821,24974,12847
2009,Computação e Tecnologias da Informação e Comunicação (TIC),21609,3871,17738
2009,Saúde e bem-estar,127298,98085,29213
2009,"Agricultura, silvicultura, pesca e veterinária",17060,6763,10297
2009,"Ciências naturais, matemática e estatística",7472,4130,3342
2009,Artes e humanidades,14440,7526,6914
2010,"Engenharia, produção e construção",46120,13273,32847
2010,Educação,162694,116854,45840
2010,"Negócios, administração e direito",259323,143835,115488
2010,Serviços,7284,5222,2062
2010,Saúde e bem-estar,134810,102784,32026
2010,"Ciências sociais, comunicação e informação",43893,29895,13998
2010,Computação e Tecnologias da Informação e Comunicação (TIC),19776,3579,16197
2010,"Agricultura, silvicultura, pesca e veterinária",16723,6802,9921
2010,"Ciências naturais, matemática e estatística",10740,6201,4539
2010,Artes e humanidades,16294,8471,7823
2011,"Engenharia, produção e construção",50335,15414,34921
2011,Educação,162338,117028,45310
2011,"Negócios, administração e direito",262209,146635,115574
2011,Saúde e bem-estar,148940,113074,35866
2011,"Ciências sociais, comunicação e informação",46734,31750,14984
2011,Computação e Tecnologias da Informação e Comunicação (TIC),18997,3274,15723
2011,"Agricultura, silvicultura, pesca e veterinária",17820,7333,10487
2011,"Ciências naturais, matemática e estatística",12341,7016,5325
2011,Artes e humanidades,17905,9261,8644
2011,Serviços,6217,4274,1943
2012,"Engenharia, produção e construção",60134,18641,41493
2012,Educação,148560,107173,41387
2012,"Negócios, administração e direito",264104,150298,113806
2012,Saúde e bem-estar,148551,112754,35797
2012,"Ciências sociais, comunicação e informação",44770,30451,14319
2012,Computação e Tecnologias da Informação e Comunicação (TIC),20220,3713,16507
2012,"Agricultura, silvicultura, pesca e veterinária",16961,7232,9729
2012,"Ciências naturais, matemática e estatística",13795,7762,6033
2012,Artes e humanidades,17745,9251,8494
2012,Serviços,5469,3730,1739
2013,"Engenharia, produção e construção",66884,21340,45544
2013,Educação,140170,101873,38297
2013,"Negócios, administração e direito",246560,140281,106279
2013,Saúde e bem-estar,125698,94527,31171
2013,"Ciências sociais, comunicação e informação",43127,29702,13425
2013,Computação e Tecnologias da Informação e Comunicação (TIC),17786,3040,14746
2013,"Agricultura, silvicultura, pesca e veterinária",16829,7482,9347
2013,"Ciências naturais, matemática e estatística",13004,7460,5544
2013,Artes e humanidades,17558,9249,8309
2013,Serviços,4480,2981,1499
