year,area,total_conc,total_fem,total_masc
2011,Social & Behavioral Sciences,47407,32171,15236
2011,Total,1022669,625163,397506
2012,Arts & Humanities,27057,15146,11911
2012,Business & Management,436390,249820,186570
2012,Education,224223,173014,51209
2012,Engineering,123768,33969,89799
2012,Health & Medical,166813,128582,38231
2012,Natural Sciences,14261,8041,6220
2012,Other/Unknown,18722,7952,10770
2012,Social & Behavioral Sciences,44835,30473,14362
2012,Total,1056069,646997,409072
2013,Arts & Humanities,27476,15736,11740
2013,Business & Management,417785,241661,176124
2013,Education,201487,153777,47710
2013,Engineering,127414,35053,92361
2013,Health & Medical,144906,111303,33603
2013,Natural Sciences,13473,7734,5739
2013,Other/Unknown,19054,8382,10672
2013,Social & Behavioral Sciences,43217,29741,13476
2013,Total,994812,603387,391425
2014,Arts & Humanities,27765,15842,11923
2014,Business & Management,336351,199488,136863
2014,Education,142527,103108,39419
2014,Engineering,124718,35647,89071
2014,Health & Medical,128304,97077,31227
2014,Natural Sciences,13756,7890,5866
2014,Other/Unknown,19681,8628,11053
2014,Social & Behavioral Sciences,44181,30350,13831
2014,Total,837283,498030,339253
2015,Arts & Humanities,28903,16457,12446
2015,Business & Management,477538,281893,195645
2015,Education,238377,184773,53604
2015,Engineering,158252,46374,111878
2015,Health & Medical,164356,127102,37254
2015,Natural Sciences,14668,8394,6274
2015,Other/Unknown,22649,9973,12676
2015,Social & Behavioral Sciences,47715,33234,14481
2015,Total,1152458,708200,444258
2016,Arts & Humanities,29808,16947,12861
2016,Business & Management,464899,276445,188454
2016,Education,239607,185071,54536
2016,Engineering,174953,53146,121807
2016,Health & Medical,169762,130866,38896
2016,Natural Sciences,15136,8454,6682
2016,Other/Unknown,24914,11689,13225
2016,Social & Behavioral Sciences,51881,36811,15070
2016,Total,1170960,719429,451531
2017,Arts & Humanities,31853,17558,14295
2017,Business & Management,446019,263368,182651
2017,Education,253673,191186,62487
2017,Engineering,187694,59722,127972
2017,Health & Medical,184515,140818,43697
2017,Natural Sciences,16314,8861,7453
2017,Other/Unknown,25805,12354,13451
2017,Social & Behavioral Sciences,55272,39767,15505
2017,Total,1201145,733634,467511
2018,Arts & Humanities,29670,16937,12733
2018,Business & Management,339107,202721,136386
2018,Education,133243,94556,38687
2018,Engineering,189594,63486,126108
2018,Health & Medical,191744,143603,48141
2018,Natural Sciences,15900,8602,7298
2018,Other/Unknown,30150,15275,14875
2018,Social & Behavioral Sciences,61007,44203,16804
2018,Total,990415,589383,401032
2019,Arts & Humanities,30862,17666,13196
2019,Business & Management,447597,257163,190434
2019,Education,254091,192048,62043
2019,Engineering,204648,65670,138978
2019,Health & Medical,204587,150986,53601
2019,Natural Sciences,15150,8193,6957
2019,Other/Unknown,31910,16366,15544
2019,Social & Behavioral Sciences,61394,44416,16978
2019,Total,1250239,752508,497731
2020,Arts & Humanities,29322,16535,12787
2020,Business & Management,490603,280168,210435
2020,Education,243542,188994,54548
2020,Engineering,202848,63361,139487
2020,Health & Medical,212269,154154,58115
2020,Natural Sciences,12749,6945,5804
2020,Other/Unknown,30371,15620,14751
2020,Social & Behavioral Sciences,57051,40959,16092
2020,Total,1278755,766736,512019
2021,Arts & Humanities,30146,17102,13044
2021,Business & Management,477134,270432,206702
2021,Education,283924,221196,62728
2021,Engineering,189350,56572,132778
2021,Health & Medical,240912,176502,64410
2021,Natural Sciences,13228,7110,6118
2021,Other/Unknown,31843,16510,15333
2021,Social & Behavioral Sciences,60788,43772,17016
2021,Total,1327325,809196,518129
2022,Arts & Humanities,30932,17598,13334
2022,Business & Management,449672,254615,195057
2022,Education,258517,202404,56113
2022,Engineering,186429,53260,133169
2022,Health & Medical,246372,180939,65433
2022,Natural Sciences,14146,7517,6629
2022,Other/Unknown,36113,18924,17189
2022,Social & Behavioral Sciences,65454,47304,18150
2022,Total,1287635,782561,505074
2023,Arts & Humanities,39934,23133,16801
2023,Business & Management,511840,291671,220169
2023,Education,233942,178537,55405
2023,Engineering,199390,54324,145066
2023,Health & Medical,267325,194814,72511
2023,Natural Sciences,14781,7595,7186
2023,Other/Unknown,37507,20250,17257
2023,Social & Behavioral Sciences,70070,49568,20502
2023,Total,1374789,819892,554897
2024,Arts & Humanities,39981,23038,16943
2024,Business & Management,469389,272775,196614
2024,Education,207450,157098,50352
2024,Engineering,211084,55590,155494
2024,Health & Medical,274084,200745,73339
2024,Natural Sciences,15108,7776,7332
2024,Other/Unknown,39703,21405,18298
2024,Social & Behavioral Sciences,77189,54734,22455
2024,Total,1333988,793161,540827
