student_id,grade,age,gender,race_latinx,race_black,race_amerind,race_white,race_asian,race_other,race_none,parent_1,parent_2,school_adults_value,feel_safer_clear,feel_safer_punish,feel_safer_security,feel_safer_consistent,feel_safer_leaders,feel_safer_relats,feel_safer_counselor,feel_safer_team,feel_safer_other,feel_safer_training,feel_safer_clear_rank,feel_safer_punish_rank,feel_safer_consistent_rank,feel_safer_security_rank,feel_safer_training_rank,feel_safer_leaders_rank,feel_safer_relats_rank,feel_safer_team_rank,feel_safer_counselor_rank,feel_safer_other_rank,parent_qual,sm_none,sm_age,adults_worry,sm_ever_made_mean,sm_ever_stalker,sm_ever_bad_post,sm_ever_got_mean,sm_ever_trouble,sm_ever_stalked,tell_friend,tell_teacher,tell_counselor,tell_parent,tell_principal,tell_family,tell_other,tell_no_one,school_values_red,sm_more_helpful_red,bully,sm_less_real_r,qual,support_score,belong_score,sm_platforms,sm_attitude_score,p_safety_score,e_safety_score,parent_support_score,school_support_score,sm_help_score,sm_concern_score,discrimination,school_rules
14,7,11,Male,0,0,0,0,0,0,1,"Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)","Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)",Other,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,happy,0,11,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.875,1,happy,2.75,2,0,1.2,2.5714285714285716,2.2857142857142856,2.25,2.375,3.888888888888889,2.5,2.5555555555555554,2.4444444444444446
15,8,13,Female,0,0,0,1,0,0,0,"Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)",Finished a four-year college,Caring,0,1,0,0,1,0,1,0,0,0,0,3,0,0,0,2,0,0,1,0,care,0,11,2,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,care,4.5,3.090909090909091,0.3,1,4,4,2.875,2,4.222222222222222,2.625,1,4.444444444444445
16,7,13,Male,0,0,0,1,0,0,0,"Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)",I'm not sure,Caring,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,care,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,ach,3.625,2.909090909090909,0.1,1.2,4,4,2,1,3.111111111111111,2.5,1,3.6666666666666665
17,8,14,Male,0,0,0,1,0,0,0,I'm not sure,I'm not sure,Caring,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,happy,0,13,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1.333333333,1,ach,5,4,0.2,1,4,4,2,3,4,3,1,5
18,7,12,Male,0,0,0,1,0,0,0,"Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)","Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)",Caring,1,0,0,1,0,0,0,0,0,1,3,0,2,0,1,0,0,0,0,0,happy,0,11,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1.333333333,1,happy,3.375,2.727272727272727,0.4,1.2,3.857142857142857,3.2857142857142856,1.5,1.75,3.3333333333333335,3.125,1.7777777777777777,3.6666666666666665
19,8,14,Male,0,0,0,1,0,0,0,"Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)",Finished a four-year college,Caring,1,1,0,1,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,ach,1,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1.333333333,1,ach,2.75,3.1818181818181817,0,1.4,3.7142857142857144,3.7142857142857144,2,1.5,4.111111111111111,3,2.3333333333333335,5
20,7,12,Male,0,0,0,0,1,0,0,"Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)","Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)",Caring,1,1,0,1,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,ach,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1.222222222,1,ach,3.375,3.090909090909091,0.2,1,4,3.7142857142857144,2,2.375,4.777777777777778,4.25,1.5555555555555556,3.888888888888889
21,7,12,Male,0,0,0,1,0,0,0,"Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)",I'm not sure,Caring,0,1,1,0,0,0,0,0,0,1,0,3,0,2,1,0,0,0,0,0,happy,0,12,2,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1.444444444,2,ach,2.75,1.7272727272727273,0.1,1.4,4,3.857142857142857,2,1.875,2.4444444444444446,4.25,1.1111111111111112,2.888888888888889
22,8,13,Female,1,0,0,1,0,0,0,"Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)","Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)",Academics,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,3,0,care,0,10,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1.333333333,1,care,4.125,3.1818181818181817,0.5,1.4,4,4,1.875,2,4.555555555555555,2.625,1,4.888888888888889
23,8,14,Male,0,0,0,1,0,0,0,"Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)",Finished a four-year college,Caring,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,0,1,2,0,care,0,12,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1.333333333,1,care,4.625,3.1818181818181817,0.3,1.4,4,4,2,1.375,3.888888888888889,1.5,1.4444444444444444,4.555555555555555
