X,YEAR,BACHELORS,GDP,UNRATE,Total_Men,Total_Women,Total,gdp,unemploy
147,2011,Education,15599.7315,8.93333333333333,32034,94842,126876,15599728123000,8.949
148,2011,Engineering,15599.7315,8.93333333333333,101586,22852,124438,15599728123000,8.949
149,2011,Grand total,15599.7315,8.93333333333333,779560,1048079,1827639,15599728123000,8.949
150,2011,Health & Medical,15599.7315,8.93333333333333,22169,124433,146602,15599728123000,8.949
151,2011,Natural Sciences,15599.7315,8.93333333333333,74893,86253,161146,15599728123000,8.949
152,2011,Other/Unknown,15599.7315,8.93333333333333,104058,138693,242751,15599728123000,8.949
153,2011,Social & Behavioral Sciences,15599.7315,8.93333333333333,107392,174260,281652,15599728123000,8.949
154,2012,Arts & Humanities,16253.97,8.075,136847,217329,354176,16253972230000,8.069
155,2012,Business & Management,16253.97,8.075,206089,191007,397096,16253972230000,8.069
156,2012,Education,16253.97,8.075,33161,96089,129250,16253972230000,8.069
157,2012,Engineering,16253.97,8.075,109184,25303,134487,16253972230000,8.069
158,2012,Grand total,16253.97,8.075,813836,1095721,1909557,16253972230000,8.069
159,2012,Health & Medical,16253.97,8.075,25799,141969,167768,16253972230000,8.069
160,2012,Natural Sciences,16253.97,8.075,81334,92914,174248,16253972230000,8.069
161,2012,Other/Unknown,16253.97,8.075,109940,147432,257372,16253972230000,8.069
162,2012,Social & Behavioral Sciences,16253.97,8.075,111482,183678,295160,16253972230000,8.069
163,2013,Arts & Humanities,16880.68325,7.35833333333333,137678,216725,354403,16843190993000,7.375
164,2013,Business & Management,16880.68325,7.35833333333333,203406,187236,390642,16843190993000,7.375
165,2013,Education,16880.68325,7.35833333333333,34095,95077,129172,16843190993000,7.375
166,2013,Engineering,16880.68325,7.35833333333333,116126,26809,142935,16843190993000,7.375
167,2013,Grand total,16880.68325,7.35833333333333,836439,1123861,1960300,16843190993000,7.375
168,2013,Health & Medical,16880.68325,7.35833333333333,29471,156938,186409,16843190993000,7.375
169,2013,Natural Sciences,16880.68325,7.35833333333333,87433,97875,185308,16843190993000,7.375
170,2013,Other/Unknown,16880.68325,7.35833333333333,115157,154063,269220,16843190993000,7.375
171,2013,Social & Behavioral Sciences,16880.68325,7.35833333333333,113073,189138,302211,16843190993000,7.375
172,2014,Arts & Humanities,17608.13825,6.15833333333333,133190,211942,345132,17550680174000,6.168
173,2014,Business & Management,17608.13825,6.15833333333333,203767,183079,386846,17550680174000,6.168
174,2014,Education,17608.13825,6.15833333333333,33216,91002,124218,17550680174000,6.168
175,2014,Engineering,17608.13825,6.15833333333333,124629,29558,154187,17550680174000,6.168
176,2014,Grand total,17608.13825,6.15833333333333,850630,1138266,1988896,17550680174000,6.168
177,2014,Health & Medical,17608.13825,6.15833333333333,32201,172011,204212,17550680174000,6.168
178,2014,Natural Sciences,17608.13825,6.15833333333333,91574,102915,194489,17550680174000,6.168
179,2014,Other/Unknown,17608.13825,6.15833333333333,118196,157300,275496,17550680174000,6.168
180,2014,Social & Behavioral Sciences,17608.13825,6.15833333333333,113857,190459,304316,17550680174000,6.168
181,2015,Arts & Humanities,18295.019,5.275,128892,204999,333891,18206020741000,5.28
182,2015,Business & Management,18295.019,5.275,206771,185765,392536,18206020741000,5.28
183,2015,Education,18295.019,5.275,31949,85996,117945,18206020741000,5.28
184,2015,Engineering,18295.019,5.275,132782,31700,164482,18206020741000,5.28
185,2015,Grand total,18295.019,5.275,861992,1152998,2014990,18206020741000,5.28
186,2015,Health & Medical,18295.019,5.275,35048,187130,222178,18206020741000,5.28
187,2015,Natural Sciences,18295.019,5.275,95474,108488,203962,18206020741000,5.28
188,2015,Other/Unknown,18295.019,5.275,118903,160355,279258,18206020741000,5.28
189,2015,Social & Behavioral Sciences,18295.019,5.275,112173,188565,300738,18206020741000,5.28
190,2016,Arts & Humanities,18804.91325,4.875,123361,199946,323307,18695110842000,4.869
191,2016,Business & Management,18804.91325,4.875,212093,188926,401019,18695110842000,4.869
192,2016,Education,18804.91325,4.875,31436,83124,114560,18695110842000,4.869
193,2016,Engineering,18804.91325,4.875,142968,36070,179038,18695110842000,4.869
194,2016,Grand total,18804.91325,4.875,871574,1170094,2041668,18695110842000,4.869
195,2016,Health & Medical,18804.91325,4.875,37783,197559,235342,18695110842000,4.869
196,2016,Natural Sciences,18804.91325,4.875,97370,113699,211069,18695110842000,4.869
197,2016,Other/Unknown,18804.91325,4.875,118017,162602,280619,18695110842000,4.869
198,2016,Social & Behavioral Sciences,18804.91325,4.875,108546,188168,296714,18695110842000,4.869
199,2017,Arts & Humanities,19612.1025,4.35833333333333,119873,198529,318402,19477336549000,4.355
200,2017,Business & Management,19612.1025,4.35833333333333,217909,193226,411135,19477336549000,4.355
201,2017,Education,19612.1025,4.35833333333333,30383,82467,112850,19477336549000,4.355
202,2017,Engineering,19612.1025,4.35833333333333,155111,40427,195538,19477336549000,4.355
203,2017,Grand total,19612.1025,4.35833333333333,887223,1192630,2079853,19477336549000,4.355
204,2017,Health & Medical,19612.1025,4.35833333333333,39441,205549,244990,19477336549000,4.355
205,2017,Natural Sciences,19612.1025,4.35833333333333,99413,119622,219035,19477336549000,4.355
206,2017,Other/Unknown,19612.1025,4.35833333333333,118003,164834,282837,19477336549000,4.355
207,2017,Social & Behavioral Sciences,19612.1025,4.35833333333333,107090,187976,295066,19477336549000,4.355
208,2018,Arts & Humanities,20656.5155,3.89166666666667,117572,196289,313861,20533057312000,3.896
209,2018,Business & Management,20656.5155,3.89166666666667,221454,196077,417531,20533057312000,3.896
210,2018,Education,20656.5155,3.89166666666667,29871,80865,110736,20533057312000,3.896
211,2018,Engineering,20656.5155,3.89166666666667,165822,45221,211043,20533057312000,3.896
